[84, array([0.539, 0.025]), array([0.5375 , 0.02345]), 0.7854, 0.0]
[84, array([0.539, 0.025]), array([0.53764762, 0.02345   ]), 0.7854, 0.0]
[84, array([0.539, 0.025]), array([0.53779524, 0.02345   ]), 0.7854, 0.0]
[84, array([0.539, 0.025]), array([0.53794286, 0.02345   ]), 0.7854, 0.0]
[84, array([0.539, 0.025]), array([0.53809048, 0.02345   ]), 0.7854, 0.0]
[84, array([0.539, 0.025]), array([0.5382381, 0.02345  ]), 0.7854, 0.0]
[84, array([0.539, 0.025]), array([0.53838571, 0.02345   ]), 0.7854, 0.0]
[84, array([0.539, 0.025]), array([0.53853333, 0.02345   ]), 0.7854, 0.0]
[84, array([0.539, 0.025]), array([0.53868095, 0.02345   ]), 0.7854, 0.0]
[84, array([0.539, 0.025]), array([0.53882857, 0.02345   ]), 0.7854, 0.0]
[84, array([0.539, 0.025]), array([0.53897619, 0.02345   ]), 0.7854, 0.0]
[84, array([0.539, 0.025]), array([0.53912381, 0.02345   ]), 0.7854, 0.0]
[84, array([0.539, 0.025]), array([0.53927143, 0.02345   ]), 0.7854, 0.0]
[84, array([0.539, 0.025]), array([0.53941905, 0.02345   ]), 0.7854, 0.0]
[84, array([0.539, 0.025]), array([0.53956667, 0.02345   ]), 0.7854, 0.0]
[84, array([0.539, 0.025]), array([0.53971429, 0.02345   ]), 0.7854, 0.0]
[84, array([0.539, 0.025]), array([0.5398619, 0.02345  ]), 0.7854, 0.0]
[84, array([0.539, 0.025]), array([0.54000952, 0.02345   ]), 0.7854, 0.0]
[84, array([0.539, 0.025]), array([0.54015714, 0.02345   ]), 0.7854, 0.0]
[84, array([0.539, 0.025]), array([0.54030476, 0.02345   ]), 0.7854, 0.0]
[84, array([0.539, 0.025]), array([0.54045238, 0.02345   ]), 0.7854, 0.0]
[84, array([0.539, 0.025]), array([0.5406 , 0.02345]), 0.7854, 0.0]
[84, array([0.539, 0.025]), array([0.5375    , 0.02359762]), 0.7854, 0.0]
[84, array([0.539, 0.025]), array([0.53764762, 0.02359762]), 0.7854, 0.0]
[84, array([0.539, 0.025]), array([0.53779524, 0.02359762]), 0.7854, 0.0]
[84, array([0.539, 0.025]), array([0.53794286, 0.02359762]), 0.7854, 0.0]
[84, array([0.539, 0.025]), array([0.53809048, 0.02359762]), 0.7854, 0.0]
[84, array([0.539, 0.025]), array([0.5382381 , 0.02359762]), 0.7854, 0.0]
[84, array([0.539, 0.025]), array([0.53838571, 0.02359762]), 0.7854, 0.0]
[84, array([0.539, 0.025]), array([0.53853333, 0.02359762]), 0.7854, 0.0]
