[84, array([0.5152, 0.035 ]), array([0.5125, 0.0344]), 0.7854, 0.0]
[84, array([0.5152, 0.035 ]), array([0.51264762, 0.0344    ]), 0.7854, 0.0]
[84, array([0.5152, 0.035 ]), array([0.51279524, 0.0344    ]), 0.7854, 0.0]
[84, array([0.5152, 0.035 ]), array([0.51294286, 0.0344    ]), 0.7854, 1.0]
[84, array([0.5152, 0.035 ]), array([0.51309048, 0.0344    ]), 0.7854, 0.0]
[84, array([0.5152, 0.035 ]), array([0.5132381, 0.0344   ]), 0.7854, 0.0]
[84, array([0.5152, 0.035 ]), array([0.51338571, 0.0344    ]), 0.7854, 0.0]
[84, array([0.5152, 0.035 ]), array([0.51353333, 0.0344    ]), 0.7854, 0.0]
[84, array([0.5152, 0.035 ]), array([0.51368095, 0.0344    ]), 0.7854, 0.0]
[84, array([0.5152, 0.035 ]), array([0.51382857, 0.0344    ]), 0.7854, 1.0]
[84, array([0.5152, 0.035 ]), array([0.51397619, 0.0344    ]), 0.7854, 1.0]
[84, array([0.5152, 0.035 ]), array([0.51412381, 0.0344    ]), 0.7854, 1.0]
[84, array([0.5152, 0.035 ]), array([0.51427143, 0.0344    ]), 0.7854, 1.0]
[84, array([0.5152, 0.035 ]), array([0.51441905, 0.0344    ]), 0.7854, 1.0]
[84, array([0.5152, 0.035 ]), array([0.51456667, 0.0344    ]), 0.7854, 1.0]
[84, array([0.5152, 0.035 ]), array([0.51471429, 0.0344    ]), 0.7854, 1.0]
[84, array([0.5152, 0.035 ]), array([0.5148619, 0.0344   ]), 0.7854, 1.0]
[84, array([0.5152, 0.035 ]), array([0.51500952, 0.0344    ]), 0.7854, 0.0]
[84, array([0.5152, 0.035 ]), array([0.51515714, 0.0344    ]), 0.7854, 0.0]
[84, array([0.5152, 0.035 ]), array([0.51530476, 0.0344    ]), 0.7854, 0.0]
[84, array([0.5152, 0.035 ]), array([0.51545238, 0.0344    ]), 0.7854, 0.0]
[84, array([0.5152, 0.035 ]), array([0.5156, 0.0344]), 0.7854, 0.0]
[84, array([0.5152, 0.035 ]), array([0.5125    , 0.03454762]), 0.7854, 0.0]
[84, array([0.5152, 0.035 ]), array([0.51264762, 0.03454762]), 0.7854, 0.0]
[84, array([0.5152, 0.035 ]), array([0.51279524, 0.03454762]), 0.7854, 0.0]
[84, array([0.5152, 0.035 ]), array([0.51294286, 0.03454762]), 0.7854, 0.0]
[84, array([0.5152, 0.035 ]), array([0.51309048, 0.03454762]), 0.7854, 0.0]
[84, array([0.5152, 0.035 ]), array([0.5132381 , 0.03454762]), 0.7854, 1.0]
[84, array([0.5152, 0.035 ]), array([0.51338571, 0.03454762]), 0.7854, 0.0]
[84, array([0.5152, 0.035 ]), array([0.51353333, 0.03454762]), 0.7854, 1.0]
[84, array([0.5152, 0.035 ]), array([0.51368095, 0.03454762]), 0.7854, 1.0]
[84, array([0.5152, 0.035 ]), array([0.51382857, 0.03454762]), 0.7854, 1.0]
[84, array([0.5152, 0.035 ]), array([0.51397619, 0.03454762]), 0.7854, 1.0]
[84, array([0.5152, 0.035 ]), array([0.51412381, 0.03454762]), 0.7854, 1.0]
[84, array([0.5152, 0.035 ]), array([0.51427143, 0.03454762]), 0.7854, 1.0]
[84, array([0.5152, 0.035 ]), array([0.51441905, 0.03454762]), 0.7854, 1.0]
[84, array([0.5152, 0.035 ]), array([0.51456667, 0.03454762]), 0.7854, 1.0]
[84, array([0.5152, 0.035 ]), array([0.51471429, 0.03454762]), 0.7854, 0.0]
[84, array([0.5152, 0.035 ]), array([0.5148619 , 0.03454762]), 0.7854, 0.0]
[84, array([0.5152, 0.035 ]), array([0.51500952, 0.03454762]), 0.7854, 0.0]
[84, array([0.5152, 0.035 ]), array([0.51515714, 0.03454762]), 0.7854, 0.0]
[84, array([0.5152, 0.035 ]), array([0.51530476, 0.03454762]), 0.7854, 0.0]
[84, array([0.5152, 0.035 ]), array([0.51545238, 0.03454762]), 0.7854, 1.0]
[84, array([0.5152, 0.035 ]), array([0.5156    , 0.03454762]), 0.7854, 0.0]
[84, array([0.5152, 0.035 ]), array([0.5125    , 0.03469524]), 0.7854, 0.0]
[84, array([0.5152, 0.035 ]), array([0.51264762, 0.03469524]), 0.7854, 0.0]
[84, array([0.5152, 0.035 ]), array([0.51279524, 0.03469524]), 0.7854, 0.0]
[84, array([0.5152, 0.035 ]), array([0.51294286, 0.03469524]), 0.7854, 0.0]
[84, array([0.5152, 0.035 ]), array([0.51309048, 0.03469524]), 0.7854, 0.0]
[84, array([0.5152, 0.035 ]), array([0.5132381 , 0.03469524]), 0.7854, 1.0]
[84, array([0.5152, 0.035 ]), array([0.51338571, 0.03469524]), 0.7854, 0.0]
[84, array([0.5152, 0.035 ]), array([0.51353333, 0.03469524]), 0.7854, 1.0]
[84, array([0.5152, 0.035 ]), array([0.51368095, 0.03469524]), 0.7854, 1.0]
[84, array([0.5152, 0.035 ]), array([0.51382857, 0.03469524]), 0.7854, 1.0]
[84, array([0.5152, 0.035 ]), array([0.51397619, 0.03469524]), 0.7854, 1.0]
[84, array([0.5152, 0.035 ]), array([0.51412381, 0.03469524]), 0.7854, 1.0]
[84, array([0.5152, 0.035 ]), array([0.51427143, 0.03469524]), 0.7854, 1.0]
[84, array([0.5152, 0.035 ]), array([0.51441905, 0.03469524]), 0.7854, 1.0]
[84, array([0.5152, 0.035 ]), array([0.51456667, 0.03469524]), 0.7854, 0.0]
[84, array([0.5152, 0.035 ]), array([0.51471429, 0.03469524]), 0.7854, 0.0]
[84, array([0.5152, 0.035 ]), array([0.5148619 , 0.03469524]), 0.7854, 0.0]
[84, array([0.5152, 0.035 ]), array([0.51500952, 0.03469524]), 0.7854, 0.0]
[84, array([0.5152, 0.035 ]), array([0.51515714, 0.03469524]), 0.7854, 0.0]
[84, array([0.5152, 0.035 ]), array([0.51530476, 0.03469524]), 0.7854, 1.0]
[84, array([0.5152, 0.035 ]), array([0.51545238, 0.03469524]), 0.7854, 1.0]
[84, array([0.5152, 0.035 ]), array([0.5156    , 0.03469524]), 0.7854, 1.0]
[84, array([0.5152, 0.035 ]), array([0.5125    , 0.03484286]), 0.7854, 0.0]
[84, array([0.5152, 0.035 ]), array([0.51264762, 0.03484286]), 0.7854, 0.0]
[84, array([0.5152, 0.035 ]), array([0.51279524, 0.03484286]), 0.7854, 0.0]
[84, array([0.5152, 0.035 ]), array([0.51294286, 0.03484286]), 0.7854, 0.0]
[84, array([0.5152, 0.035 ]), array([0.51309048, 0.03484286]), 0.7854, 0.0]
[84, array([0.5152, 0.035 ]), array([0.5132381 , 0.03484286]), 0.7854, 1.0]
[84, array([0.5152, 0.035 ]), array([0.51338571, 0.03484286]), 0.7854, 1.0]
[84, array([0.5152, 0.035 ]), array([0.51353333, 0.03484286]), 0.7854, 0.0]
[84, array([0.5152, 0.035 ]), array([0.51368095, 0.03484286]), 0.7854, 0.0]
[84, array([0.5152, 0.035 ]), array([0.51382857, 0.03484286]), 0.7854, 1.0]
[84, array([0.5152, 0.035 ]), array([0.51397619, 0.03484286]), 0.7854, 1.0]
[84, array([0.5152, 0.035 ]), array([0.51412381, 0.03484286]), 0.7854, 1.0]
[84, array([0.5152, 0.035 ]), array([0.51427143, 0.03484286]), 0.7854, 0.0]
[84, array([0.5152, 0.035 ]), array([0.51441905, 0.03484286]), 0.7854, 0.0]
[84, array([0.5152, 0.035 ]), array([0.51456667, 0.03484286]), 0.7854, 0.0]
[84, array([0.5152, 0.035 ]), array([0.51471429, 0.03484286]), 0.7854, 0.0]
[84, array([0.5152, 0.035 ]), array([0.5148619 , 0.03484286]), 0.7854, 0.0]
[84, array([0.5152, 0.035 ]), array([0.51500952, 0.03484286]), 0.7854, 1.0]
[84, array([0.5152, 0.035 ]), array([0.51515714, 0.03484286]), 0.7854, 1.0]
[84, array([0.5152, 0.035 ]), array([0.51530476, 0.03484286]), 0.7854, 1.0]
[84, array([0.5152, 0.035 ]), array([0.51545238, 0.03484286]), 0.7854, 1.0]
