[84, array([0.469 , 0.0457]), array([0.4688, 0.0438]), 0.7854, 0.0]
[84, array([0.469 , 0.0457]), array([0.46894762, 0.0438    ]), 0.7854, 0.0]
[84, array([0.469 , 0.0457]), array([0.46909524, 0.0438    ]), 0.7854, 0.0]
[84, array([0.469 , 0.0457]), array([0.46924286, 0.0438    ]), 0.7854, 0.0]
[84, array([0.469 , 0.0457]), array([0.46939048, 0.0438    ]), 0.7854, 0.0]
[84, array([0.469 , 0.0457]), array([0.4695381, 0.0438   ]), 0.7854, 0.0]
[84, array([0.469 , 0.0457]), array([0.46968571, 0.0438    ]), 0.7854, 0.0]
[84, array([0.469 , 0.0457]), array([0.46983333, 0.0438    ]), 0.7854, 0.0]
[84, array([0.469 , 0.0457]), array([0.46998095, 0.0438    ]), 0.7854, 0.0]
[84, array([0.469 , 0.0457]), array([0.47012857, 0.0438    ]), 0.7854, 0.0]
[84, array([0.469 , 0.0457]), array([0.47027619, 0.0438    ]), 0.7854, 0.0]
[84, array([0.469 , 0.0457]), array([0.47042381, 0.0438    ]), 0.7854, 0.0]
[84, array([0.469 , 0.0457]), array([0.47057143, 0.0438    ]), 0.7854, 0.0]
[84, array([0.469 , 0.0457]), array([0.47071905, 0.0438    ]), 0.7854, 0.0]
[84, array([0.469 , 0.0457]), array([0.47086667, 0.0438    ]), 0.7854, 0.0]
[84, array([0.469 , 0.0457]), array([0.47101429, 0.0438    ]), 0.7854, 1.0]
[84, array([0.469 , 0.0457]), array([0.4711619, 0.0438   ]), 0.7854, 1.0]
[84, array([0.469 , 0.0457]), array([0.47130952, 0.0438    ]), 0.7854, 1.0]
[84, array([0.469 , 0.0457]), array([0.47145714, 0.0438    ]), 0.7854, 1.0]
[84, array([0.469 , 0.0457]), array([0.47160476, 0.0438    ]), 0.7854, 1.0]
[84, array([0.469 , 0.0457]), array([0.47175238, 0.0438    ]), 0.7854, 1.0]
[84, array([0.469 , 0.0457]), array([0.4719, 0.0438]), 0.7854, 1.0]
