test_id,object_id,noise_sigma,init_x,init_y,final_reward,num_steps
1,54,0.01,0.02194553888046835,0.33506006598426197,1.0,1
2,17,0.1,-0.0064511835802715245,0.35323997615981795,0.0,1
3,28,0.05,0.0075044938576847575,0.20923933386640603,0.0,1
4,46,0.01,0.27792480528119945,-0.002484323546144307,1.0,1
5,73,0.01,0.3887096699413298,-0.16832415302723236,1.0,1
6,56,0.1,0.29844315288985823,0.3361796461840333,0.0,1
7,28,0.01,0.009164409961276376,0.026632610861791695,0.0,1
8,19,0.05,0.39080420536491134,-0.19984308695563904,0.0,1
9,68,0.01,0.1343885153858152,-0.349185865602463,1.0,1
10,54,0.05,-0.3500200429283147,0.04502084690571584,0.0,1
11,30,0.1,-0.07967018604380227,0.06673945052886776,0.0,1
12,19,0.01,-0.1931149837931245,0.02366761244652088,0.0,1
13,39,0.05,0.007467415910759556,-0.0064165072447409655,0.0,1
14,24,0.1,-0.08001218757358497,0.14476692015383197,0.0,1
15,17,0.1,-0.3898026153021622,0.24694072004339462,0.0,1
16,61,0.01,0.23752748775228738,0.03351427142192415,1.0,1
17,77,0.1,0.00895092209544257,0.11388547466911669,0.0,1
18,5,0.01,-0.13459111738214535,0.35598591889896847,1.0,1
19,78,0.01,-0.3871040752130358,0.039414863985335,1.0,1
20,22,0.1,0.38876609478820834,0.11300947039143783,0.0,1
21,2,0.01,0.07306269724070191,-0.15199121739612728,1.0,1
22,42,0.01,-0.07785923542912565,-0.04408941187703885,1.0,1
23,69,0.05,-0.1847464663632704,0.05543282004032024,0.0,1
24,4,0.1,0.05465236471030038,0.33155065583167964,0.0,1
25,59,0.01,0.2390983590399809,-0.3818605195828309,1.0,1
26,32,0.1,-0.3942164756321729,-0.17477111973358017,0.0,1
27,69,0.01,-0.3921549975283234,0.13231704495468966,1.0,1
28,75,0.01,0.20800171201063022,-0.30993426795623624,1.0,1
29,17,0.05,-0.03272808929209542,-0.2891425055917236,1.0,1
30,13,0.1,-0.2073396618632459,-0.39209824947363353,0.0,1
31,12,0.01,-0.19764634828298908,0.19175309799647167,1.0,1
32,50,0.05,0.36845055915676184,-0.18613050968384626,0.0,1
33,78,0.01,-0.34311485203215786,-0.3724371220386477,1.0,1
34,15,0.01,-0.35532510215800794,-0.18743932041746536,1.0,1
35,16,0.05,0.2732314461588995,0.19007172259864524,0.0,1
36,81,0.1,0.19235966028704876,-0.12219217349472594,0.0,1
37,36,0.1,0.12098522571769676,0.029861231147238043,0.0,1
38,69,0.05,0.18870568507895213,0.014429129599415003,0.0,1
39,27,0.05,-0.04422038324508781,0.2138866336923696,1.0,1
40,54,0.05,0.17101058594844099,0.028003083039818466,0.0,1
41,18,0.05,-0.10108399929282985,-0.30135005428746386,1.0,1
42,4,0.05,0.18265721486048359,-0.19120529861562946,0.0,1
43,47,0.01,0.01320494341237105,0.27145108970674947,1.0,1
44,11,0.1,0.11540601333489986,0.2911408875075713,0.0,1
45,37,0.05,0.2617037031529912,-0.2565086597802873,0.0,1
46,53,0.1,-0.038523663127706165,0.06137137137804166,0.0,1
47,5,0.01,-0.34868908615469296,-0.23903572324849984,1.0,1
48,60,0.05,-0.05204420923461123,0.3952203895656563,0.0,1
49,19,0.01,-0.2018495902909644,-0.2160493523948425,0.0,1
50,32,0.1,-0.3942164756321729,-0.17477111973358017,0.0,1
51,69,0.01,-0.3921549975283234,0.13231704495468966,1.0,1
52,75,0.01,0.20800171201063022,-0.30993426795623624,1.0,1
53,17,0.05,-0.03272808929209542,-0.2891425055917236,1.0,1
