test_id,object_id,noise_sigma,init_x,init_y,final_reward,num_steps
1,8,0.01,0.17478671540123636,-0.3464912081856971,1.0,1
2,54,0.01,0.24160218594267957,-0.1774341525311936,1.0,1
3,29,0.05,0.07572734526308478,-0.32761852038256445,0.0,1
4,12,0.01,0.04339662488350288,0.06882582887589567,1.0,1
5,56,0.1,0.2936679955776351,-0.08249460342098225,0.0,1
6,7,0.05,-0.1314140412675573,-0.3899071884010403,0.0,1
7,67,0.05,-0.0038272115215944313,0.048459756349368166,0.0,1
8,19,0.05,0.10188001361438914,-0.24232331565702758,0.0,1
9,49,0.01,0.3474902595960532,-0.14751461768861196,1.0,1
10,83,0.05,0.08763745729366218,0.16450406140710616,1.0,1
11,16,0.05,-0.019956092889099053,-0.07826774597058755,0.0,1
12,1,0.01,0.01153656809971293,0.07575369286635325,0.0,1
13,12,0.01,-0.05474012405389772,-0.1930919249343518,1.0,1
14,46,0.1,-0.30309808382723863,0.03300008191513992,0.0,1
15,69,0.05,-0.1847464663632704,0.05543282004032024,0.0,1
16,4,0.1,0.05465236471030038,0.33155065583167964,0.0,1
17,59,0.01,0.2390983590399809,-0.3818605195828309,1.0,1
18,32,0.1,-0.3942164756321729,-0.17477111973358017,0.0,1
19,69,0.01,-0.3921549975283234,0.13231704495468966,1.0,1
20,75,0.01,0.20800171201063022,-0.30993426795623624,1.0,1
21,17,0.05,-0.03272808929209542,-0.2891425055917236,1.0,1
22,13,0.1,-0.2073396618632459,-0.39209824947363353,0.0,1
23,12,0.01,-0.19764634828298908,0.19175309799647167,1.0,1
24,50,0.05,0.36845055915676184,-0.18613050968384626,0.0,1
25,78,0.01,-0.34311485203215786,-0.3724371220386477,1.0,1
26,15,0.01,-0.35532510215800794,-0.18743932041746536,1.0,1
27,16,0.05,0.2732314461588995,0.19007172259864524,0.0,1
28,81,0.1,0.19235966028704876,-0.12219217349472594,0.0,1
29,36,0.1,0.12098522571769676,0.029861231147238043,0.0,1
30,69,0.05,0.18870568507895213,0.014429129599415003,0.0,1
31,27,0.05,-0.04422038324508781,0.2138866336923696,1.0,1
32,54,0.05,0.17101058594844099,0.028003083039818466,0.0,1
33,18,0.05,-0.10108399929282985,-0.30135005428746386,1.0,1
34,4,0.05,0.18265721486048359,-0.19120529861562946,0.0,1
35,47,0.01,0.01320494341237105,0.27145108970674947,1.0,1
36,11,0.1,0.11540601333489986,0.2911408875075713,0.0,1
37,37,0.05,0.2617037031529912,-0.2565086597802873,0.0,1
38,53,0.1,-0.038523663127706165,0.06137137137804166,0.0,1
39,5,0.01,-0.34868908615469296,-0.23903572324849984,1.0,1
40,60,0.05,-0.05204420923461123,0.3952203895656563,0.0,1
41,19,0.01,-0.2018495902909644,-0.2160493523948425,0.0,1
42,32,0.1,-0.3942164756321729,-0.17477111973358017,0.0,1
43,69,0.01,-0.3921549975283234,0.13231704495468966,1.0,1
44,75,0.01,0.20800171201063022,-0.30993426795623624,1.0,1
45,17,0.05,-0.03272808929209542,-0.2891425055917236,1.0,1
46,13,0.1,-0.2073396618632459,-0.39209824947363353,0.0,1
47,12,0.01,-0.19764634828298908,0.19175309799647167,1.0,1
48,50,0.05,0.36845055915676184,-0.18613050968384626,0.0,1
49,78,0.01,-0.34311485203215786,-0.3724371220386477,1.0,1
50,15,0.01,-0.35532510215800794,-0.18743932041746536,1.0,1
51,16,0.05,0.2732314461588995,0.19007172259864524,0.0,1
52,81,0.1,0.19235966028704876,-0.12219217349472594,0.0,1
53,36,0.1,0.12098522571769676,0.029861231147238043,0.0,1
54,69,0.05,0.18870568507895213,0.014429129599415003,0.0,1
55,27,0.05,-0.04422038324508781,0.2138866336923696,1.0,1
56,54,0.05,0.17101058594844099,0.028003083039818466,0.0,1
57,18,0.05,-0.10108399929282985,-0.30135005428746386,1.0,1
58,4,0.05,0.18265721486048359,-0.19120529861562946,0.0,1
59,47,0.01,0.01320494341237105,0.27145108970674947,1.0,1
60,11,0.1,0.11540601333489986,0.2911408875075713,0.0,1
61,37,0.05,0.2617037031529912,-0.2565086597802873,0.0,1
62,53,0.1,-0.038523663127706165,0.06137137137804166,0.0,1
63,5,0.01,-0.34868908615469296,-0.23903572324849984,1.0,1
64,60,0.05,-0.05204420923461123,0.3952203895656563,0.0,1
65,19,0.01,-0.2018495902909644,-0.2160493523948425,0.0,1
66,32,0.1,-0.3942164756321729,-0.17477111973358017,0.0,1
67,69,0.01,-0.3921549975283234,0.13231704495468966,1.0,1
68,75,0.01,0.20800171201063022,-0.30993426795623624,1.0,1
69,17,0.05,-0.03272808929209542,-0.2891425055917236,1.0,1
70,13,0.1,-0.2073396618632459,-0.39209824947363353,0.0,1
71,12,0.01,-0.19764634828298908,0.19175309799647167,1.0,1
72,50,0.05,0.36845055915676184,-0.18613050968384626,0.0,1
73,78,0.01,-0.34311485203215786,-0.3724371220386477,1.0,1
74,15,0.01,-0.35532510215800794,-0.18743932041746536,1.0,1
75,16,0.05,0.2732314461588995,0.19007172259864524,0.0,1
76,81,0.1,0.19235966028704876,-0.12219217349472594,0.0,1
77,36,0.1,0.12098522571769676,0.029861231147238043,0.0,1
78,69,0.05,0.18870568507895213,0.014429129599415003,0.0,1
79,27,0.05,-0.04422038324508781,0.2138866336923696,1.0,1
80,54,0.05,0.17101058594844099,0.028003083039818466,0.0,1
81,18,0.05,-0.10108399929282985,-0.30135005428746386,1.0,1
82,4,0.05,0.18265721486048359,-0.19120529861562946,0.0,1
83,47,0.01,0.01320494341237105,0.27145108970674947,1.0,1
84,11,0.1,0.11540601333489986,0.2911408875075713,0.0,1
85,37,0.05,0.2617037031529912,-0.2565086597802873,0.0,1
86,53,0.1,-0.038523663127706165,0.06137137137804166,0.0,1
87,5,0.01,-0.34868908615469296,-0.23903572324849984,1.0,1
88,60,0.05,-0.05204420923461123,0.3952203895656563,0.0,1
89,19,0.01,-0.2018495902909644,-0.2160493523948425,0.0,1
90,32,0.1,-0.3942164756321729,-0.17477111973358017,0.0,1
91,69,0.01,-0.3921549975283234,0.13231704495468966,1.0,1
92,75,0.01,0.20800171201063022,-0.30993426795623624,1.0,1
93,17,0.05,-0.03272808929209542,-0.2891425055917236,1.0,1
94,13,0.1,-0.2073396618632459,-0.39209824947363353,0.0,1
95,12,0.01,-0.19764634828298908,0.19175309799647167,1.0,1
96,50,0.05,0.36845055915676184,-0.18613050968384626,0.0,1
97,78,0.01,-0.34311485203215786,-0.3724371220386477,1.0,1
98,15,0.01,-0.35532510215800794,-0.18743932041746536,1.0,1
99,16,0.05,0.2732314461588995,0.19007172259864524,0.0,1
100,81,0.1,0.19235966028704876,-0.12219217349472594,0.0,1
101,36,0.1,0.12098522571769676,0.029861231147238043,0.0,1
102,69,0.05,0.18870568507895213,0.014429129599415003,0.0,1
103,27,0.05,-0.04422038324508781,0.2138866336923696,1.0,1
104,54,0.05,0.17101058594844099,0.028003083039818466,0.0,1
105,18,0.05,-0.10108399929282985,-0.30135005428746386,1.0,1
106,4,0.05,0.18265721486048359,-0.19120529861562946,0.0,1
107,47,0.01,0.01320494341237105,0.27145108970674947,1.0,1
108,11,0.1,0.11540601333489986,0.2911408875075713,0.0,1
109,37,0.05,0.2617037031529912,-0.2565086597802873,0.0,1
110,53,0.1,-0.038523663127706165,0.06137137137804166,0.0,1
111,5,0.01,-0.34868908615469296,-0.23903572324849984,1.0,1
112,60,0.05,-0.05204420923461123,0.3952203895656563,0.0,1
113,19,0.01,-0.2018495902909644,-0.2160493523948425,0.0,1
114,32,0.1,-0.3942164756321729,-0.17477111973358017,0.0,1
115,69,0.01,-0.3921549975283234,0.13231704495468966,1.0,1
116,75,0.01,0.20800171201063022,-0.30993426795623624,1.0,1
117,17,0.05,-0.03272808929209542,-0.2891425055917236,1.0,1
118,13,0.1,-0.2073396618632459,-0.39209824947363353,0.0,1
119,12,0.01,-0.19764634828298908,0.19175309799647167,1.0,1
120,50,0.05,0.36845055915676184,-0.18613050968384626,0.0,1
121,78,0.01,-0.34311485203215786,-0.3724371220386477,1.0,1
122,15,0.01,-0.35532510215800794,-0.18743932041746536,1.0,1
123,16,0.05,0.2732314461588995,0.19007172259864524,0.0,1
124,81,0.1,0.19235966028704876,-0.12219217349472594,0.0,1
125,36,0.1,0.12098522571769676,0.029861231147238043,0.0,1
126,69,0.05,0.18870568507895213,0.014429129599415003,0.0,1
127,27,0.05,-0.04422038324508781,0.2138866336923696,1.0,1
128,54,0.05,0.17101058594844099,0.028003083039818466,0.0,1
129,18,0.05,-0.10108399929282985,-0.30135005428746386,1.0,1
130,4,0.05,0.18265721486048359,-0.19120529861562946,0.0,1
131,47,0.01,0.01320494341237105,0.27145108970674947,1.0,1
132,11,0.1,0.11540601333489986,0.2911408875075713,0.0,1
133,37,0.05,0.2617037031529912,-0.2565086597802873,0.0,1
134,53,0.1,-0.038523663127706165,0.06137137137804166,0.0,1
135,5,0.01,-0.34868908615469296,-0.23903572324849984,1.0,1
136,60,0.05,-0.05204420923461123,0.3952203895656563,0.0,1
137,19,0.01,-0.2018495902909644,-0.2160493523948425,0.0,1
138,32,0.1,-0.3942164756321729,-0.17477111973358017,0.0,1
139,69,0.01,-0.3921549975283234,0.13231704495468966,1.0,1
140,75,0.01,0.20800171201063022,-0.30993426795623624,1.0,1
141,17,0.05,-0.03272808929209542,-0.2891425055917236,1.0,1
142,13,0.1,-0.2073396618632459,-0.39209824947363353,0.0,1
143,12,0.01,-0.19764634828298908,0.19175309799647167,1.0,1
144,50,0.05,0.36845055915676184,-0.18613050968384626,0.0,1
145,78,0.01,-0.34311485203215786,-0.3724371220386477,1.0,1
146,15,0.01,-0.35532510215800794,-0.18743932041746536,1.0,1
147,16,0.05,0.2732314461588995,0.19007172259864524,0.0,1
148,81,0.1,0.19235966028704876,-0.12219217349472594,0.0,1
149,36,0.1,0.12098522571769676,0.029861231147238043,0.0,1
150,69,0.05,0.18870568507895213,0.014429129599415003,0.0,1
151,27,0.05,-0.04422038324508781,0.2138866336923696,1.0,1
152,54,0.05,0.17101058594844099,0.028003083039818466,0.0,1
153,18,0.05,-0.10108399929282985,-0.30135005428746386,1.0,1
154,4,0.05,0.18265721486048359,-0.19120529861562946,0.0,1
155,47,0.01,0.01320494341237105,0.27145108970674947,1.0,1
156,11,0.1,0.11540601333489986,0.2911408875075713,0.0,1
157,37,0.05,0.2617037031529912,-0.2565086597802873,0.0,1
158,53,0.1,-0.038523663127706165,0.06137137137804166,0.0,1
159,5,0.01,-0.34868908615469296,-0.23903572324849984,1.0,1
160,60,0.05,-0.05204420923461123,0.3952203895656563,0.0,1
161,19,0.01,-0.2018495902909644,-0.2160493523948425,0.0,1
162,32,0.1,-0.3942164756321729,-0.17477111973358017,0.0,1
163,69,0.01,-0.3921549975283234,0.13231704495468966,1.0,1
164,75,0.01,0.20800171201063022,-0.30993426795623624,1.0,1
165,17,0.05,-0.03272808929209542,-0.2891425055917236,1.0,1
166,13,0.1,-0.2073396618632459,-0.39209824947363353,0.0,1
167,12,0.01,-0.19764634828298908,0.19175309799647167,1.0,1
168,50,0.05,0.36845055915676184,-0.18613050968384626,0.0,1
169,78,0.01,-0.34311485203215786,-0.3724371220386477,1.0,1
170,15,0.01,-0.35532510215800794,-0.18743932041746536,1.0,1
171,16,0.05,0.2732314461588995,0.19007172259864524,0.0,1
172,81,0.1,0.19235966028704876,-0.12219217349472594,0.0,1
173,36,0.1,0.12098522571769676,0.029861231147238043,0.0,1
174,69,0.05,0.18870568507895213,0.014429129599415003,0.0,1
175,27,0.05,-0.04422038324508781,0.2138866336923696,1.0,1
176,54,0.05,0.17101058594844099,0.028003083039818466,0.0,1
177,18,0.05,-0.10108399929282985,-0.30135005428746386,1.0,1
178,4,0.05,0.18265721486048359,-0.19120529861562946,0.0,1
179,47,0.01,0.01320494341237105,0.27145108970674947,1.0,1
180,11,0.1,0.11540601333489986,0.2911408875075713,0.0,1
181,37,0.05,0.2617037031529912,-0.2565086597802873,0.0,1
182,53,0.1,-0.038523663127706165,0.06137137137804166,0.0,1
183,5,0.01,-0.34868908615469296,-0.23903572324849984,1.0,1
184,60,0.05,-0.05204420923461123,0.3952203895656563,0.0,1
185,19,0.01,-0.2018495902909644,-0.2160493523948425,0.0,1
186,32,0.1,-0.3942164756321729,-0.17477111973358017,0.0,1
187,69,0.01,-0.3921549975283234,0.13231704495468966,1.0,1
188,75,0.01,0.20800171201063022,-0.30993426795623624,1.0,1
189,17,0.05,-0.03272808929209542,-0.2891425055917236,1.0,1
190,13,0.1,-0.2073396618632459,-0.39209824947363353,0.0,1
191,12,0.01,-0.19764634828298908,0.19175309799647167,1.0,1
192,50,0.05,0.36845055915676184,-0.18613050968384626,0.0,1
193,78,0.01,-0.34311485203215786,-0.3724371220386477,1.0,1
194,15,0.01,-0.35532510215800794,-0.18743932041746536,1.0,1
195,16,0.05,0.2732314461588995,0.19007172259864524,0.0,1
196,81,0.1,0.19235966028704876,-0.12219217349472594,0.0,1
197,36,0.1,0.12098522571769676,0.029861231147238043,0.0,1
198,69,0.05,0.18870568507895213,0.014429129599415003,0.0,1
199,27,0.05,-0.04422038324508781,0.2138866336923696,1.0,1
200,54,0.05,0.17101058594844099,0.028003083039818466,0.0,1
201,18,0.05,-0.10108399929282985,-0.30135005428746386,1.0,1
202,4,0.05,0.18265721486048359,-0.19120529861562946,0.0,1
203,47,0.01,0.01320494341237105,0.27145108970674947,1.0,1
204,11,0.1,0.11540601333489986,0.2911408875075713,0.0,1
205,37,0.05,0.2617037031529912,-0.2565086597802873,0.0,1
206,53,0.1,-0.038523663127706165,0.06137137137804166,0.0,1
207,5,0.01,-0.34868908615469296,-0.23903572324849984,1.0,1
208,60,0.05,-0.05204420923461123,0.3952203895656563,0.0,1
209,19,0.01,-0.2018495902909644,-0.2160493523948425,0.0,1
210,32,0.1,-0.3942164756321729,-0.17477111973358017,0.0,1
211,69,0.01,-0.3921549975283234,0.13231704495468966,1.0,1
212,75,0.01,0.20800171201063022,-0.30993426795623624,1.0,1
213,17,0.05,-0.03272808929209542,-0.2891425055917236,1.0,1
214,13,0.1,-0.2073396618632459,-0.39209824947363353,0.0,1
215,12,0.01,-0.19764634828298908,0.19175309799647167,1.0,1
216,50,0.05,0.36845055915676184,-0.18613050968384626,0.0,1
217,78,0.01,-0.34311485203215786,-0.3724371220386477,1.0,1
218,15,0.01,-0.35532510215800794,-0.18743932041746536,1.0,1
219,16,0.05,0.2732314461588995,0.19007172259864524,0.0,1
220,81,0.1,0.19235966028704876,-0.12219217349472594,0.0,1
